Date,Forecast_Sales,Lower_Bound,Upper_Bound
2020-01-31,1566543.2408902778,1517119.104944353,1614003.394305506
2020-02-29,1398555.0169609538,1350844.9765566778,1448816.433051549
2020-03-31,1557676.9636192464,1507655.4228116868,1604825.8812000102
2020-04-30,1531344.670879493,1482105.114863066,1578842.0781381675
2020-05-31,1582731.317692366,1534042.168367579,1634239.783240007
2020-06-30,1546442.2735198224,1496959.34246714,1593907.3446531452
2020-07-31,1534956.1848879089,1487397.7191085108,1584458.7462411954
2020-08-31,1604211.1321570294,1556352.2165264424,1650750.4639245274
2020-09-30,1525492.3076059802,1480505.792880241,1574244.5553045932
2020-10-31,1529389.163347652,1484537.0757246907,1579873.1888451504
2020-11-30,1513377.14757104,1460813.1791077545,1562367.0680473694
2020-12-31,1530678.9449180725,1481183.4900454408,1579847.0901065988
2021-01-31,1608238.1866496345,1557546.343502321,1654708.1391407955
2021-02-28,1390402.6454329076,1347654.8534785272,1444980.3409059541
2021-03-31,1556173.2474031316,1507025.4078664382,1605985.110073064
2021-04-30,1531822.236064921,1478979.4935064812,1579796.3365537275
2021-05-31,1576792.1755062235,1526589.6369979444,1626908.0453139145
2021-06-30,1535598.4413543479,1484737.810444245,1583727.918896227
2021-07-31,1547766.1311341634,1500387.834784602,1599222.2006726952
2021-08-31,1584826.472307616,1537752.7666771975,1631865.4268886256
2021-09-30,1516024.098080553,1468329.548826073,1560709.4064680652
2021-10-31,1532661.1746745135,1483116.7482906976,1579198.779183113
2021-11-30,1503526.1734849873,1453214.1203180228,1554925.8094479716
2021-12-31,1547555.0066891627,1501060.4309641297,1593923.609577763
2022-01-31,1588846.0229241878,1538208.672915449,1634313.3379075613
2022-02-28,1383073.4673390402,1334277.9861366358,1432760.9124613246
2022-03-31,1555430.708649796,1508255.0068725022,1604884.8816181298
2022-04-30,1532964.842053984,1482952.1958851854,1582432.3953375733
2022-05-31,1571481.3060446307,1520769.5329746038,1622242.502455369
2022-06-30,1525738.8648262592,1475478.8863484887,1572638.328638269
2022-07-31,1561286.9945589094,1513621.6907796476,1611548.9657932234
2022-08-31,1566057.9612022175,1517880.6993219967,1613258.257749324
2022-09-30,1507757.0927153858,1465636.88754133,1555931.4639012727
2022-10-31,1536981.8922111485,1488347.4846259095,1587278.108398104
2022-11-30,1494715.3847426854,1446717.3105768224,1540554.5534465471
2022-12-31,1565060.9627981463,1513400.2264914159,1617224.8385213765
2023-01-31,1569808.6047015963,1525471.9678065458,1615349.5154445162
2023-02-28,1376737.6071064174,1326927.032578019,1421347.6033955817
2023-03-31,1555427.1873268543,1509592.7688733006,1605612.952331939
2023-04-30,1534563.9004114335,1486716.1326138861,1580897.9962629082
2023-05-31,1566455.8052637002,1519130.4144714542,1617647.9839940057
2023-06-30,1516380.5925949744,1467166.0076730638,1564484.1048575174
2023-07-31,1574906.188723542,1525900.6784278343,1624011.221242542
2023-08-31,1547209.0407535832,1497772.2918286482,1599569.259986137
2023-09-30,1499918.0959559074,1452805.1560313506,1550072.6248869153
2023-10-31,1541492.0632338277,1493163.097959133,1586946.7900429582
2023-11-30,1486091.1360691537,1435333.1881700477,1534592.319467264
2023-12-31,1582327.5134451797,1536323.0442109066,1629500.2662280616
2024-01-31,1550337.32224298,1501579.4018882224,1599153.8026513872
2024-02-29,1382425.0370296333,1335124.6037577654,1433835.9449667484
2024-03-31,1541628.1595567854,1494278.973866317,1591559.1034645436
2024-04-30,1515374.4241063632,1464353.313684398,1564071.7578954708
2024-05-31,1566842.246784873,1518231.8061762953,1613396.8845703679
2024-06-30,1530631.7599053835,1480923.5813788094,1579343.9592078684
2024-07-31,1519226.8471432664,1471475.0111079724,1570399.2106857519
2024-08-31,1588562.9702759746,1538248.5161444722,1641546.9169531649
2024-09-30,1509922.7030123377,1460527.4929040922,1559860.348318331
2024-10-31,1513900.7346153434,1464895.1134150603,1568797.973660494
2024-11-30,1497967.276122712,1448917.7615039714,1548239.2531671077
2024-12-31,1515350.2493297653,1466741.9316847548,1565412.9673851558
2025-01-31,1592990.6669078972,1546577.8521066539,1641564.266933148
2025-02-28,1375228.4458104249,1327046.0946665737,1423048.239650362
2025-03-31,1541077.0192486707,1490256.642883891,1586790.252724957
2025-04-30,1516801.4641697593,1465863.876710175,1563661.0756307202
2025-05-31,1561833.3321773247,1510360.7792653488,1610777.8906250757
2025-06-30,1520699.5288958456,1470556.2828735001,1569174.454149663
