ProductName,TotalAmount,Revenue_Percentage,Cumulative_Percentage,ABC_Category,Rank,Cumulative_Revenue,Cumulative_Revenue_%
Memory Card 128GB,1935138.4,2.107405113749836,2.107405113749836,A,1,1935138.4,2.107405113749836
LED Desk Lamp,1921948.41,2.0930409461139146,4.200446059863751,A,2,3857086.8099999996,4.20044605986375
Mechanical Keyboard,1906963.54,2.076722117617267,6.277168177481018,A,3,5764050.35,6.277168177481017
Electric Kettle,1905751.79,2.0754024971980836,8.352570674679102,A,4,7669802.14,8.3525706746791
Smartwatch,1901275.59,2.070527824270211,10.423098498949313,A,5,9571077.73,10.423098498949312
Dress Shirt,1896765.36,2.0656160919795448,12.488714590928858,A,6,11467843.09,12.488714590928856
Water Bottle,1895467.95,2.064203186076468,14.552917777005327,A,7,13363311.04,14.552917777005323
Gaming Mouse,1895103.98,2.0638068153366533,16.61672459234198,A,8,15258415.02,16.616724592341978
Kids Toy Car,1891082.43,2.0594272655146866,18.676151857856667,A,9,17149497.45,18.676151857856663
Jeans,1882591.82,2.050180818370206,20.72633267622687,A,10,19032089.27,20.726332676226868
Noise Cancelling Headphones,1881108.57,2.0485655289237408,22.774898205150613,A,11,20913197.84,22.774898205150613
Cookware Set,1877038.73,2.044133390308671,24.819031595459286,A,12,22790236.57,24.819031595459283
Smartphone Case,1875421.41,2.0423720959027674,26.861403691362053,A,13,24665657.98,26.86140369136205
Microphone,1871740.68,2.0383637059993203,28.899767397361373,A,14,26537398.66,28.89976739736137
Smart Light Bulb,1868940.58,2.035314340094013,30.935081737455384,A,15,28406339.240000002,30.935081737455384
4K Monitor,1866774.35,2.0329552715232286,32.96803700897861,A,16,30273113.590000004,32.96803700897862
Phone Tripod,1866256.31,2.032391115416809,35.00042812439542,A,17,32139369.900000002,35.00042812439542
Board Game,1863310.96,2.029183569304457,37.02961169369988,A,18,34002680.86,37.02961169369988
Vacuum Cleaner,1855117.83,2.0202610839361665,39.04987277763605,A,19,35857798.69,39.04987277763604
Router,1850756.2,2.0155111800707455,41.06538395770679,A,20,37708554.89,41.06538395770679
Laptop Sleeve,1848297.8,2.012833932421873,43.07821789012866,A,21,39556852.69,43.07821789012866
Yoga Mat,1847898.09,2.0123986400944527,45.090616530223116,A,22,41404750.78,45.090616530223116
HDMI Cable 2m,1847856.25,2.0123530754826606,47.10296960570577,A,23,43252607.03,47.10296960570578
Desk Organizer,1843103.26,2.007176972609811,49.110146578315586,A,24,45095710.29,49.110146578315586
Instant Pot,1838639.12,2.0023154332674595,51.11246201158305,A,25,46934349.41,51.11246201158305
Wireless Earbuds,1834207.58,1.9974893959887892,53.109951407571835,A,26,48768556.989999995,53.109951407571835
Action Camera,1829029.24,1.9918500783065316,55.10180148587837,A,27,50597586.23,55.10180148587837
Running Shoes,1828658.19,1.9914459973025802,57.093247483180946,A,28,52426244.419999994,57.093247483180946
Office Chair,1827426.35,1.990104498464398,59.08335198164534,A,29,54253670.769999996,59.083351981645336
Portable SSD 1TB,1819377.38,1.9813390062709615,61.06469098791631,A,30,56073048.15,61.0646909879163
Drone Mini,1816203.39,1.9778824665438854,63.0425734544602,A,31,57889251.54,63.0425734544602
Wireless Charger,1812628.92,1.9739897959437127,65.0165632504039,A,32,59701880.46,65.0165632504039
Winter Jacket,1806053.51,1.9668290405894695,66.98339229099338,A,33,61507933.97,66.98339229099336
Projector Mini,1805867.58,1.9666265590342484,68.95001885002763,A,34,63313801.55,68.95001885002762
Bluetooth Speaker,1803356.76,1.9638922249381934,70.91391107496582,A,35,65117158.309999995,70.91391107496581
Novel Bestseller,1803054.57,1.9635631338761155,72.87747420884195,A,36,66920212.879999995,72.87747420884193
Webcam Full HD,1799332.82,1.9595100723575707,74.83698428119952,A,37,68719545.69999999,74.83698428119949
Puzzle 1000pc,1797812.49,1.9578544020362192,76.79483868323574,A,38,70517358.18999998,76.7948386832357
Power Bank 20000mAh,1794738.58,1.9545068514666026,78.74934553470234,A,39,72312096.76999998,78.74934553470231
Air Fryer,1789927.34,1.9492673131578815,80.69861284786022,B,40,74102024.10999998,80.69861284786019
Sunglasses,1788111.81,1.9472901640267566,82.64590301188697,B,41,75890135.91999999,82.64590301188694
T-Shirt,1787855.05,1.9470105471595567,84.59291355904652,B,42,77677990.96999998,84.59291355904651
Graphic Tablet,1786772.26,1.945831366805781,86.5387449258523,B,43,79464763.22999999,86.53874492585228
External HDD 2TB,1786108.33,1.9451083335192871,88.48385325937159,B,44,81250871.55999999,88.48385325937157
Fitness Band,1784149.5,1.9429751277708165,90.42682838714241,B,45,83035021.05999999,90.4268283871424
Car Charger,1779795.27,1.9382332826560469,92.36506166979845,B,46,84814816.32999998,92.36506166979844
USB-C Charger,1763075.26,1.9200248513748792,94.28508652117333,B,47,86577891.58999999,94.28508652117333
Desk Plant,1759672.6199999999,1.916319307142875,96.2014058283162,C,48,88337564.21,96.2014058283162
Backpack,1749971.14,1.905754197917126,98.10716002623332,C,49,90087535.35,98.10716002623332
Children's Book,1738112.57,1.892839973766667,99.99999999999999,C,50,91825647.91999999,99.99999999999999
