CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Customer_Segment
CUST000001,156,1,446.48,5,1,1,511,7,Potential Loyalists
CUST000002,1062,3,1389.9299999999998,2,4,2,242,8,Potential Loyalists
CUST000003,1462,1,1116.91,1,1,2,112,4,At Risk
CUST000004,195,3,2660.06,4,4,4,444,12,Loyal Customers
CUST000005,639,1,1089.56,3,1,2,312,6,At Risk
CUST000006,248,4,2831.85,4,5,4,454,13,Champions
CUST000007,1545,1,450.53,1,1,1,111,3,Lost Customers
CUST000008,52,3,4116.16,5,4,5,545,14,Champions
CUST000009,257,2,2120.69,4,2,3,423,9,Potential Loyalists
CUST000010,40,2,1201.0,5,2,2,522,9,Potential Loyalists
CUST000011,65,3,2852.02,5,4,4,544,13,Champions
CUST000012,569,1,2448.98,3,1,4,314,8,Potential Loyalists
CUST000014,373,2,3768.41,4,2,5,425,11,Loyal Customers
CUST000015,115,2,776.81,5,2,2,522,9,Potential Loyalists
CUST000016,492,2,573.05,3,2,1,321,6,At Risk
CUST000017,7,2,352.57,5,2,1,521,8,Potential Loyalists
CUST000018,805,3,3240.99,2,4,4,244,10,Loyal Customers
CUST000019,879,1,1371.4,2,1,2,212,5,At Risk
CUST000020,65,1,1394.52,5,1,2,512,8,Potential Loyalists
CUST000021,364,2,2554.11,4,2,4,424,10,Loyal Customers
CUST000022,1068,3,3460.8,2,4,5,245,11,Loyal Customers
CUST000023,332,1,1707.39,4,1,3,413,8,Potential Loyalists
CUST000024,964,1,841.88,2,1,2,212,5,At Risk
CUST000025,573,2,627.88,3,2,1,321,6,At Risk
CUST000026,569,2,2405.37,3,2,4,324,9,Potential Loyalists
CUST000027,154,2,1713.44,5,2,3,523,10,Loyal Customers
CUST000029,1403,3,2454.3599999999997,1,4,4,144,9,Potential Loyalists
CUST000030,470,4,968.95,3,5,2,352,10,Loyal Customers
CUST000031,260,4,4627.38,4,5,5,455,14,Champions
CUST000032,463,2,897.27,3,2,2,322,7,Potential Loyalists
CUST000033,1241,2,722.64,1,2,2,122,5,At Risk
CUST000037,399,2,3833.8599999999997,3,2,5,325,10,Loyal Customers
CUST000038,895,2,907.23,2,2,2,222,6,At Risk
CUST000039,7,2,128.68,5,2,1,521,8,Potential Loyalists
CUST000040,1349,1,191.74,1,1,1,111,3,Lost Customers
CUST000041,636,3,1793.55,3,4,3,343,10,Loyal Customers
CUST000042,1071,2,1298.03,2,2,2,222,6,At Risk
CUST000043,480,1,497.33,3,1,1,311,5,At Risk
CUST000044,344,3,3636.77,4,4,5,445,13,Champions
CUST000046,235,4,2558.5299999999997,4,5,4,454,13,Champions
CUST000047,1280,2,1081.3899999999999,1,2,2,122,5,At Risk
CUST000048,1108,1,1463.6,1,1,3,113,5,At Risk
CUST000049,724,2,2925.89,2,2,4,224,8,Potential Loyalists
CUST000050,337,2,2380.86,4,2,4,424,10,Loyal Customers
CUST000051,218,1,758.83,4,1,2,412,7,Potential Loyalists
